wind_farm,fac_id,deliv
230,"(1, 1)",0.0
230,"(1, 2)",0.0
230,"(1, 3)",0.0
230,"(2, 1)",0.0
230,"(2, 2)",0.0
230,"(2, 3)",0.0
230,"(3, 1)",0.0
230,"(3, 2)",0.0
230,"(3, 3)",1.0
230,"(4, 1)",0.0
230,"(4, 2)",0.0
230,"(4, 3)",0.0
231,"(1, 1)",0.0
231,"(1, 2)",0.0
231,"(1, 3)",0.0
231,"(2, 1)",0.0
231,"(2, 2)",0.0
231,"(2, 3)",0.0
231,"(3, 1)",0.0
231,"(3, 2)",0.0
231,"(3, 3)",1.0
231,"(4, 1)",0.0
231,"(4, 2)",0.0
231,"(4, 3)",0.0
232,"(1, 1)",0.0
232,"(1, 2)",1.0
232,"(1, 3)",0.0
232,"(2, 1)",0.0
232,"(2, 2)",0.0
232,"(2, 3)",0.0
232,"(3, 1)",0.0
232,"(3, 2)",0.0
232,"(3, 3)",0.0
232,"(4, 1)",0.0
232,"(4, 2)",0.0
232,"(4, 3)",0.0
233,"(1, 1)",0.0
233,"(1, 2)",0.0
233,"(1, 3)",0.0
233,"(2, 1)",0.0
233,"(2, 2)",0.0
233,"(2, 3)",1.0
233,"(3, 1)",0.0
233,"(3, 2)",0.0
233,"(3, 3)",0.0
233,"(4, 1)",0.0
233,"(4, 2)",0.0
233,"(4, 3)",0.0
234,"(1, 1)",0.0
234,"(1, 2)",0.0
234,"(1, 3)",0.0
234,"(2, 1)",0.0
234,"(2, 2)",1.0
234,"(2, 3)",0.0
234,"(3, 1)",0.0
234,"(3, 2)",0.0
